hour,demand
3104,569.2998852384688
3105,579.3198406818924
3106,593.0797280201505
3107,619.5690741779418
3108,640.9438135720345
3109,642.019835463389
3110,635.6939080406836
3111,607.4718397780581
3112,539.9734530386747
3113,397.1907338797347
3114,323.35405256671083
3115,307.2355143341509
3116,316.23898802811135
3117,326.4637197409178
3118,356.3690261575049
3119,428.15182413838113
3120,592.8802050487682
3121,784.4952999810429
3122,737.4361129492664
3123,701.4970683456426
3124,670.8221403992703
3125,639.4985579482739
3126,615.5649210293676
3127,602.5184416802699
3128,599.3570135298952
3129,609.9273157685468
3130,624.4477311623137
3131,652.4115215306971
3132,675.0205765542696
3133,676.3984888067092
3134,669.9661250856121
3135,640.2512276983707
3136,569.0273705799154
3137,418.3490684016653
3138,340.46421480614435
3139,323.4162628407104
3140,332.87579419233595
3141,343.6791495727645
3142,375.1885004851466
3143,450.75941706703287
3144,624.1498991877692
3145,872.8106625306713
3146,820.0128880038018
3147,780.0611441776559
3148,746.0170802744334
3149,711.2208904537451
3150,684.7405129207375
3151,670.3869665433787
3152,666.9010228181919
3153,678.7484255344285
3154,695.0354096837381
3155,726.3882911226376
3156,751.8149623852823
3157,753.8090987664092
3158,747.0617128140357
3159,714.0020395391282
3160,634.3866192105157
3161,465.7924350432643
3162,378.69112840089025
3163,359.54132860575976
3164,370.0374345868779
3165,382.0665177791879
3166,417.11492105526315
3167,501.2789072026078
3168,694.2461014927262
3169,837.246617162344
3170,786.7760847876986
3171,748.4311537068617
3172,715.7713807379758
3173,682.3437026866111
3174,656.8867311749952
3175,642.9908072300326
3176,639.6666229157379
3177,651.0440311652917
3178,666.7242148957366
3179,696.7537746364496
3180,721.130946313438
3181,722.8129249170495
3182,716.1120455585022
3183,684.4535221642745
3184,608.1932425893301
3185,446.5422590241083
3186,362.96914673299466
3187,344.64237194565453
3188,354.7458335110844
3189,366.1171778476641
3190,399.5739472327163
3191,480.4405549555849
3192,665.6723925494497
3193,869.2979340357755
3194,817.4063054003096
3195,777.5566604695447
3196,743.4928147849495
3197,708.7614940858541
3198,682.1395259042573
3199,667.5983225572843
3200,664.0477744551614
3201,675.6886466980437
3202,691.6307028630647
3203,722.4562429599333
3204,747.2883647762885
3205,748.5328120324549
3206,741.1681835692688
3207,708.2269567483089
3208,629.5765396636313
3209,463.37824906465386
3210,377.4529578172649
3211,358.6734308290478
3212,369.16276850699654
3213,381.2026502415127
3214,416.1755085932435
3215,499.67104267671635
3216,691.7931035158359
3217,945.179264085331
3218,888.8728815041233
3219,845.529674656409
3220,808.4560587074083
3221,770.681840799529
3222,741.6854911182286
3223,725.8290984453845
3224,721.9420623399682
3225,734.5671008606042
3226,751.8271332734498
3227,785.2721597752185
3228,812.165626503139
3229,813.3768865552415
3230,805.250411872526
3231,769.4312661259974
3232,684.0522907413365
3233,503.71828997388036
3234,410.4719712069394
3235,390.1005478985206
3236,401.509555359359
3237,414.6300499381383
3238,452.6724064872889
3239,543.3055040133007
3240,752.2255263693263
3241,866.7084668144923
3242,814.989697168826
3243,775.2580940948599
3244,741.2973813665632
3245,706.6639320542982
3246,680.1179761644476
3247,665.5961874337547
3248,662.0526414006958
3249,673.6661798497105
3250,689.5705761632826
3251,720.3144799876859
3252,745.0703970832568
3253,746.2678302699153
3254,738.8805003110522
3255,706.0399184348759
3256,627.6389130962137
3257,461.9381849755377
3258,376.2590829479976
3259,357.5423381331595
3260,368.0050117554385
3261,379.9871481412337
3262,414.83812375664337
3263,498.10506948971215
3264,689.6777680230716
3265,876.2990543685078
3266,824.0338528001299
3267,783.860298992724
3268,749.5148948490612
3269,714.4972587714858
3270,687.6470499705223
3271,672.9584910713763
3272,669.3691584985139
3273,681.1018083734198
3274,697.1619488875302
3275,728.227685213488
3276,753.2304542022471
3277,754.4138475625509
3278,746.9229839478139
3279,713.7150660251025
3280,634.4764229902572
3281,467.03504731900176
3282,380.4557413795229
3283,361.54457515883723
3284,372.1226923724864
3285,384.2519173138257
3286,419.5019005800059
3287,503.65670496995403
3288,697.3421328678697
3289,819.1705445871977
3290,770.0504230013034
3291,732.5197806517823
3292,700.4773733753306
3293,667.770578762059
3294,642.7679524862996
3295,629.14423489095
3296,625.8335037375269
3297,636.8587082459998
3298,651.9912633335086
3299,681.1706236034815
3300,704.7466797097145
3301,706.1659366643827
3302,699.4370043849531
3303,668.4032615633938
3304,594.0635156029872
3305,436.83707217337013
3306,355.56989984187953
3307,337.7787246840362
3308,347.65410352120404
3309,358.9613976831008
3310,391.88455130427263
3311,470.7328524345258
3312,651.783061881326
3313,793.7106040831759
3314,745.6581898657699
3315,709.3341540976267
3316,678.3999000238226
3317,646.754819676444
3318,622.6981137474771
3319,609.6477621128868
3320,606.4979788585599
3321,617.2970413867229
3322,632.1700338959322
3323,660.7238674731058
3324,683.9136045717026
3325,685.7693206088624
3326,679.6602819852399
3327,649.6068820825026
3328,577.1381353019074
3329,423.5889223303431
